item,itemLabel,position,positionLabel,startDate,endDate,source,sourceDate,psid
Q105943401,Taysir El Nourani,Q112325298,Minister of Labour and Administrative Reform,2021-02-09,,https://en.wikipedia.org/wiki/Cabinet_of_Sudan,2022-06-23,Q105943401-5CC75FFA-22F9-4BFE-82A0-9F668522015E
Q110629734,Osman Hussein Osman,Q30100623,Prime Minister of Sudan,2022-01-19,,,,Q110629734-20EB8039-CE6A-4405-81DA-170728F774AD
Q112674332,Jamal Abdelmajeed,Q112674303,General Intelligence Service,2020-01-16,,https://en.wikipedia.org/wiki/Cabinet_of_Sudan,2022-06-23,Q112674332-0726FAAE-8427-480F-AE17-5FFEDDAB8D0F
Q112674333,Issa Osman Sharif,Q112325266,Minister of Agriculture and Natural Resources,2019-09-08,2020-07-09,https://en.wikipedia.org/wiki/Cabinet_of_Sudan,2022-06-23,Q112674333-0D5B009D-69EF-4CEA-91CE-DFAE2D9FD4A7
Q112674335,Abdelgadir Turkawi,Q112325266,Minister of Agriculture and Natural Resources,2020-07-09,2021-02-09,https://en.wikipedia.org/wiki/Cabinet_of_Sudan,2022-06-23,Q112674335-F3057F71-D6FD-4684-8551-0348107121CF
Q112674336,Taher Harbi,Q112325266,Minister of Agriculture and Natural Resources,2021-02-09,,https://en.wikipedia.org/wiki/Cabinet_of_Sudan,2022-06-23,Q112674336-2DB6A15B-2788-4B62-AC0B-A829FAFD4BD1
Q112674337,Omar Munis,Q112325274,Minister of Cabinet Affairs,2019-09-08,2021-02-09,https://en.wikipedia.org/wiki/Cabinet_of_Sudan,2022-06-23,Q112674337-D052C3B7-DB95-405A-ADB9-74E6C63822E2
Q112674338,Khaled Omar,Q112325274,Minister of Cabinet Affairs,2021-02-09,,https://en.wikipedia.org/wiki/Cabinet_of_Sudan,2022-06-23,Q112674338-000B5F32-68A1-4846-9BCA-66B97A9548F9
Q112674339,Hashem Hasabelrasoul,Q112325275,Minister of Communications and Digital Transformation,2021-02-09,,https://en.wikipedia.org/wiki/Cabinet_of_Sudan,2022-06-23,Q112674339-6228D9AF-E87F-49FB-8B48-37B31C6E3EE5
Q112674340,Hamza Baloul,Q112325276,Minister of Culture and Information,2021-02-09,,https://en.wikipedia.org/wiki/Cabinet_of_Sudan,2022-06-23,Q112674340-DF8C5E66-BECB-4885-803A-BB195E7B4923
Q112674342,Mohammed el-Amin el-Tom,Q112325279,Minister of Education,2019-09-08,,https://en.wikipedia.org/wiki/Cabinet_of_Sudan,2022-06-23,Q112674342-AE765C6D-0B80-4DD2-ADE5-1865D604FB41
Q112674343,Adel Ibrahim,Q112325281,Minister of Energy and Oil,2019-09-08,2020-07-09,https://en.wikipedia.org/wiki/Cabinet_of_Sudan,2022-06-23,Q112674343-0D702F96-D443-45E1-85DE-AA709B2DE9BC
Q112674344,Khairy Abdel Rahman,Q112325281,Minister of Energy and Oil,2020-07-09,2021-02-09,https://en.wikipedia.org/wiki/Cabinet_of_Sudan,2022-06-23,Q112674344-4872B93C-1EED-4FD2-AB10-9F4D411CB7DD
Q112674345,Jaden Ali,Q112325281,Minister of Energy and Oil,2021-02-09,,https://en.wikipedia.org/wiki/Cabinet_of_Sudan,2022-06-23,Q112674345-09533BA6-4891-4120-98C7-45B7917E97EC
