item,itemLabel,position,positionLabel,startDate,endDate,source,sourceDate,psid
Q112796403,Abbas Guma’a Obeidalla,Q112792606,Minister of State for Agriculture,2010-06-15,2011-12-07,,,Q112796403-66470F83-92EB-4A7C-A504-6E74F7D9E05F
Q112325535,Abd al-Basit Sabdirat,Q112325307,Relations with the Parliament,2001-02-23,2005-09-21,,2022-06-10,Q112325535-BE233B95-9B1E-426E-9614-39390F106B8A
Q112325535,Abd al-Basit Sabdirat,Q112325284,Federal Government,2005-09-21,2007-12-26,,2022-06-10,Q112325535-BD410D61-3BCF-472E-AEB9-3AA3840134D1
Q112325535,Abd al-Basit Sabdirat,Q112325297,Justice,2008-02-13,2010-06-16,,2022-06-10,Q112325535-761D478B-F71A-43DF-AC5C-FCA45FA42D1B
Q112325536,Abd al-Hamid Musa Kasha,Q112325283,External Trade,2001-02-23,2005-09-21,,2022-06-10,Q112325536-162FDB14-2F9C-495F-B35A-70D279E149AF
Q112325538,Abd-al-Rahman Sa’id Abd-al Rahman,Q111192637,Science and Technology,2007-12-26,2008-02-13,,2022-06-10,Q112325538-CC76F097-FE9D-4915-8F81-9E2EA17F7479
Q112325539,Abdalla Ali Masar,Q112325291,Information,2011-12-27,2012-04-30,,2022-06-10,Q112325539-476AABE0-CA2D-4AE4-A59D-1AD2C2B5ACE5
Q112325540,Abdalla Suleiman Abdala,Q112325266,Agriculture,2018-05-14,2018-09-09,,2022-06-10,Q112325540-6AC4EFCF-3B8E-4B36-B365-2A53ED3CA024
Q112325541,Abdalla Tiya Guma’a,Q112325286,Health,2010-06-16,2011-12-27,,2022-06-10,Q112325541-D4344C50-4562-4828-ACBD-CEDF56B48FBB
Q112792322,Abdallah Ali Masar,Q112792192,Special Advisor to the President of Sudan,2005-09-20,2007-12-26,,,Q112792322-E647FB98-D57E-494D-B17F-4105D8798CD1
Q27654948,Abdallah Hamdok,Q105926147,Finance and Economic Planning,2018-09-09,2018-09-15,,2022-06-10,Q27654948-FF55D8C9-BB28-4EE3-A332-93F532180979
Q112325542,Abdallah Hassan Ahmed,Q112325293,International Cooperation and Investment,1998-03-09,2000-01-24,,2022-06-10,Q112325542-929146D7-FC30-4C72-A213-CE7E064F5C56
Q112325543,Abdallah Mohammed Sid Ahmed,Q112325268,Animal Health,2000-01-24,2001-02-23,,2022-06-10,Q112325543-CB7DBB34-803A-4EBA-AD98-E1BDEDCD9A5F
Q112325544,Abdalrahman Said,Q112325284,Federal Government,2007-12-26,2010-06-16,,2022-06-10,Q112325544-B2486E71-89B1-4572-80C8-68FB0CFFCD9A
Q307796,Abdel Rahmi Mohamed Hussein,Q112325292,Interior,1998-03-09,2000-07-10,,2022-06-10,Q307796-65DB020B-B002-4A33-B29A-E61AD9B0EDD3
Q307796,Abdel Rahmi Mohamed Hussein,Q112325306,Presidential Affairs,2000-07-10,2001-02-23,,2022-06-10,Q307796-E9EFB361-9A07-4D8E-A1B9-417FBE40989E
Q307796,Abdel Rahmi Mohamed Hussein,Q112325292,Interior,2001-02-23,2005-09-21,,2022-06-10,Q307796-AC541664-BE82-41CF-AF4B-415B26F6DBA6
Q307796,Abdel Rahmi Mohamed Hussein,Q85851442,Defence,2005-09-21,2015-06-07,,2022-06-10,Q307796-8B0BC5D1-779C-4B98-B94D-2AD209F30836
Q112325546,Abdel Wahab Osmane,Q105926147,Finance and National Economy,1996-04-21,2000-01-24,,2022-06-10,Q112325546-D3AB1428-2AFE-45E8-8CF0-C05C9116A357
Q112325547,Abdel Wahid Yousif Ibrahim,Q112325292,Interior,2013-12-08,2014-06-25,,2022-06-10,Q112325547-75721570-63E4-4C86-96C0-1C47906B2F92
Q112325547,Abdel Wahid Yousif Ibrahim,Q112325309,Roads and Bridges,2014-06-25,2015-06-07,,2022-06-10,Q112325547-D9ED6F8B-F728-4A11-8ECB-3801F9B57884
Q112792324,Abdelkader Mohammed Zein,Q112792612,Minister of State for Culture and Youth,2005-09-20,2007-12-26,,,Q112792324-265A51DC-B7BA-4F54-863D-2D612C04B082
Q112800391,Abdelrahman Al Sadig Al Mahdi,Q112792192,Special Advisor to the President of Sudan,2015-06-07,2017-05-12,,,Q112800391-1EEF1416-F562-42A2-9059-C7844CC3551C
Q112325549,Abdin Muhammad Sharif,Q112325288,Human Resources,2011-12-27,2012-07-09,,2022-06-10,Q112325549-D4FF9236-D7A6-4C7D-BAA8-B7EC669CD494
Q112800231,Abdu Daoud Suleiman,Q112792656,Minister of State for Industry,2015-06-07,2017-05-12,,,Q112800231-B981910E-6195-40EB-B0FC-37280B4E2012
Q112325550,Abdul Basit Abdulmajid,Q112325302,National Education,2000-01-24,2001-02-23,,2022-06-10,Q112325550-DF27F142-6F1E-42BB-BD5A-EDEA29ADF9B7
Q112325550,Abdul Basit Abdulmajid,Q112325276,Culture and Tourism,2001-02-23,2002-08-19,,2022-06-10,Q112325550-64194BD8-1689-41F9-B810-D1D1702039BD
Q112325550,Abdul Basit Abdulmajid,Q112325276,Culture,2002-08-19,2005-09-21,,2022-06-10,Q112325550-6FED5EAB-A32C-49EB-9525-25D5B06D31AD
Q112325551,Abdul Rahim Mahmud Hamdi,Q105926147,Finance,2001-02-23,2002-05-07,,2022-06-10,Q112325551-3458187B-65C0-4EAE-8FFA-F4459D68F724
Q112796404,Abdul Wahid Yousuf Ibrahim,Q112796557,Minister of State for Mining,2010-06-15,2011-12-07,,,Q112796404-701B9000-F42B-4E66-A723-4546BFADA5F5
Q112325552,Abdul-Bagi Al-Gailani,Q112325300,Minerals,2010-06-16,2011-12-27,,2022-06-10,Q112325552-EA3184DA-6B0E-4297-AEC3-11D6AF34D6E6
Q112800232,Abdul-Hafiz Al-Saddiq,Q112796518,Minister of State for Education,2015-06-07,2017-05-12,,,Q112800232-787B3880-72E4-4B6B-AD2D-6CD04AB58F84
Q112325553,Abdul-Halim Ismail al-Muaafi,Q112325290,Industry,2000-01-24,2001-02-23,,2022-06-10,Q112325553-7605124A-4135-42B0-94FB-CB8AFE60DAC1
Q112325553,Abdul-Halim Ismail al-Muaafi,Q112325266,Agriculture,2010-06-16,2011-12-27,,2022-06-10,Q112325553-6F20E4F5-FDE6-4B90-B766-6F2D204CE320
Q112325553,Abdul-Halim Ismail al-Muaafi,Q112325266,Agriculture and Irrigation,2011-12-27,2013-12-08,,2022-06-10,Q112325553-1A23CD1B-1B89-44A3-BB80-AA42FB93B6D6
Q112325554,Abdul-Karim Musa,Q112325322,Youth and Sports,2017-05-12,2018-05-14,,2022-06-10,Q112325554-FC729AEA-715E-4454-8562-439BF6EA1073
Q112325555,Abdul-Latif Ahmed Mohamed Ujaimi,Q112325266,Agriculture,2017-05-12,2018-05-14,,2022-06-10,Q112325555-699A33CE-BDB8-4671-B7DE-71BE39BD90BE
Q112800233,Abdul-Rahman Mohamed Dirar,Q112792629,Minister of State for Finance,2015-06-07,2017-05-12,,,Q112800233-517918C9-DC62-4033-812A-8764934096A0
Q112325557,Abdul-Rahman Osman Abdul-Rahman,Q112325303,Petroleum and Gas,2017-05-12,2018-05-14,,2022-06-10,Q112325557-DBC5BDFC-9F21-4946-B25C-FC6728B85368
Q112325558,Abdul-Wahab Mohamed Osman,Q112325309,Roads and Bridges,2010-06-16,2011-12-27,,2022-06-10,Q112325558-4F9C6832-9420-4168-859D-DAE4356079E0
Q112325558,Abdul-Wahab Mohamed Osman,Q112325290,Industry,2011-12-27,2013-12-08,,2022-06-10,Q112325558-7CA5B0FC-DB5A-40F3-8971-303FAA6CC73D
Q112325559,Abdulrahman Sir el Khatim,Q85851442,Defence,1999-03-06,2000-07-10,,2022-06-10,Q112325559-4D9F0521-679B-468C-8A87-0AFA7677CA96
Q112325559,Abdulrahman Sir el Khatim,Q112325274,Minister of Cabinet Affairs,2000-07-10,2001-02-23,,2022-06-10,Q112325559-4DD25123-6D45-4F7E-AAA5-B1A9F32A6C86
Q112796405,Aboush Ajoke Ako,Q112792273,Minister of State for International Cooperation,2010-06-15,2011-12-07,,,Q112796405-20AB5B15-6718-438C-9A6B-B7CB4194466E
Q112796406,Abu Al-Gasim Imam Mohammed Al-Haj,Q112796582,Minister of State for Youth and Sports,2010-06-15,2011-12-07,,,Q112796406-6D720477-28B0-4925-9992-F6EFD3036F97
Q112325560,Abu-Bakr Ahmed Abdul-Rahim,Q112325297,Justice,2017-05-12,2018-05-14,,2022-06-10,Q112325560-07D33EE8-E179-4BB3-8085-60016B176BA8
Q112325561,Abu-Bakr Osman Ibrahim,Q112325308,Religious Affairs,2017-05-12,2018-09-09,,2022-06-10,Q112325561-DDF5138B-F23C-44F9-9C85-B3CE8D076C72
Q112325562,Abu-al-Bashir Abd-al-Rahman Yusuf,Q112325322,Youth and Sports,2018-05-14,2018-09-09,,2022-06-10,Q112325562-CA7BEEA7-DEFD-41D8-9C93-01836D21EF17
Q112325563,Abul Gasim Mohamed Ibrahim,Q112325307,Relations with the Parliament,1996-04-21,2000-01-24,,2022-06-10,Q112325563-325278C4-D67F-4DB5-991D-B9956E8F6EBB
Q112325563,Abul Gasim Mohamed Ibrahim,Q112325286,Health,2000-01-24,2001-02-23,,2022-06-10,Q112325563-64CBDEE6-F4CC-455B-A448-818FB69BA77E
Q112800234,Adam Abdalla Al-Nour Mohamed,Q112796534,Minister of State for Human Resources,2015-06-07,2017-05-12,,,Q112800234-62006A9F-7A3E-4066-896B-AA43FA2B61A2
Q112325564,Adam Tahir Hamdoun,Q112325283,External Trade,1999-03-06,2000-01-24,,2022-06-10,Q112325564-A0148C70-2160-48E2-8E1F-09DFFCA0BF51
Q112796407,Adel Awad Salman,Q112796572,Minister of State for Social Welfare,2010-06-15,2011-12-07,,,Q112796407-8FE54F01-4FCF-4515-853E-9AB79F402B2E
Q112800235,Adel Hamid Daglo Musa,Q112796507,"Minister of State for Antiquities, Tourism and Wildlife",2015-06-07,2017-05-12,,,Q112800235-2B233B1B-A4EC-4ED4-892D-855EBD35F768
Q112325565,Agnes Loukoudo,Q112325299,Manpower,1998-03-09,2000-01-24,,2022-06-10,Q112325565-EBA23E17-25F3-4872-8F14-3DC087DF4ABB
Q112325566,Ahmad Babiker Nahar,Q112325302,National Education and Guidance,2002-08-19,2005-09-21,,2022-06-10,Q112325566-AA43A79A-2E80-4F1B-A4CE-71FBAB82A58D
Q112325566,Ahmad Babiker Nahar,Q112325282,Environment and Construction Development,2005-09-21,2007-12-26,,2022-06-10,Q112325566-7EB8752E-65E9-4C30-AD6A-17038E3970BD
Q112325566,Ahmad Babiker Nahar,Q112325282,Environment,2007-12-26,2010-06-16,,2022-06-10,Q112325566-28E3DE96-D49B-4999-9BD6-CC9EACA98A90
Q112325566,Ahmad Babiker Nahar,Q112325271,"Antiquities, Tourism and Wildlife",2010-06-16,2011-12-27,,2022-06-10,Q112325566-B6707BD9-6EAF-4FA8-8C00-AC2421E63CA3
Q112325566,Ahmad Babiker Nahar,Q112325317,"Transport, Roads, and Bridges",2011-12-27,2014-06-25,,2022-06-10,Q112325566-B5DFFA5E-DD97-48D6-90E1-2420D0746337
Q112325566,Ahmad Babiker Nahar,Q112325317,Transport,2014-06-25,2015-06-07,,2022-06-10,Q112325566-14E196F3-33DA-4FD0-AC9B-BB0FC0569967
Q112325566,Ahmad Babiker Nahar,Q112325298,Labour and Administrative Reform,2015-06-07,2018-09-09,,2022-06-10,Q112325566-18CB2789-5F95-4877-A068-4479B050B4EC
Q112800236,Ahmed Abu-Zaid,Q112792666,Minister of State for Justice,2015-06-07,2017-05-12,,,Q112800236-1E4994B3-00C3-4A71-A681-A7D60783D96D
Q112792326,Ahmed Ali Imam,Q112792192,Special Advisor to the President of Sudan,2005-09-20,2007-12-26,,,Q112792326-7FFCC8D5-DDCA-4CCB-88ED-085217A7E1BF
