,year,country_isocode,country_name,id,position,name,title,gender,birthyear,deadyear,party,party_english,party_otherlanguage,core,minister,leader,classification,portfolio_1,prestige_1,portfolio_2,prestige_2,portfolio_3,prestige_3,portfolio_4,prestige_4,m_finance,m_defense,m_agriculture,m_foreignaffairs
186927,2000,SDN,Sudan,1009,President,Umar Hasan Ahmad Al Bashir,Lt. Gen,Male,NA,NA,independent,independent,independent,1,0,1,President,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0
186928,2000,SDN,Sudan,1010,First Vice President,Ali Osman Mohammed Taha,NA,Male,NA,NA,independent,independent,independent,1,0,0,Vice President,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0
186929,2000,SDN,Sudan,1011,Second Vice President,George Kongor Arop,Maj. Gen,Male,NA,NA,independent,independent,independent,1,0,0,Vice President,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0
186930,2000,SDN,Sudan,1012,Chmn. Bureau Of Federal Rule,Ali Al Haj Mohammed,Dr.,Male,NA,NA,independent,independent,independent,0,0,0,Director of Government Agency,"Government, Interior & Home Affairs",High,NA,NA,NA,NA,NA,NA,0,0,0,0
186931,2000,SDN,Sudan,1013,Min. Of Agriculture & Forests,NA,NA,NA,NA,NA,independent,independent,independent,1,1,0,Minister (Full Rank),"Agriculture, Food, Fisheries & Livestock",Medium,Environment,Medium,NA,NA,NA,NA,0,0,1,0
186932,2000,SDN,Sudan,1014,Min. Of Cabinet Affairs,NA,NA,NA,NA,NA,independent,independent,independent,1,1,0,Minister (Full Rank),Executive & Legislative Relations,Medium,NA,NA,NA,NA,NA,NA,0,0,0,0
186933,2000,SDN,Sudan,1015,Min. Of Civil Aviation,Ibrahim Suleiman,Gen.,Male,NA,NA,independent,independent,independent,1,1,0,Minister (Full Rank),Transport,Medium,NA,NA,NA,NA,NA,NA,0,0,0,0
186934,2000,SDN,Sudan,1016,Min. Of Communications & Roads,Mohammed Tahir Eila,NA,Male,NA,NA,independent,independent,independent,1,1,0,Minister (Full Rank),Communications & Information,Medium,Construction & Public Works,Medium,NA,NA,NA,NA,0,0,0,0
186935,2000,SDN,Sudan,1017,Min. Of Defense,Abdelrahman Sir Al Khatim,NA,Male,NA,NA,independent,independent,independent,1,1,0,Minister (Full Rank),"Defense, Military & National Security",High,NA,NA,NA,NA,NA,NA,0,1,0,0
186936,2000,SDN,Sudan,1018,Min. Of Education,Hamid Mohammed Ali Torin,NA,Male,NA,NA,independent,independent,independent,1,1,0,Minister (Full Rank),"Education, Training & Skills",Medium,NA,NA,NA,NA,NA,NA,0,0,0,0
186937,2000,SDN,Sudan,1019,Min. Of Energy & Mining,Awad Ahmad Al Jaz,Dr.,Male,NA,NA,independent,independent,independent,1,1,0,Minister (Full Rank),Energy,Medium,Environment,Medium,NA,NA,NA,NA,0,0,0,0
186938,2000,SDN,Sudan,1020,Min. Of External Trade,Makki Ali Balayel,NA,Male,NA,NA,independent,independent,independent,1,1,0,Minister (Full Rank),Foreign Economic Relations,Medium,NA,NA,NA,NA,NA,NA,0,0,0,0
186939,2000,SDN,Sudan,1021,Min. Of Federal Relations,Ahmad Ibrahim Attahir,NA,Male,NA,NA,independent,independent,independent,1,1,0,Minister (Full Rank),"Government, Interior & Home Affairs",High,NA,NA,NA,NA,NA,NA,0,0,0,0
186940,2000,SDN,Sudan,1022,Min. Of Finance & National Economy,Mohammed Khair Ahmad Al Zubair,NA,Male,NA,NA,independent,independent,independent,1,1,0,Minister (Full Rank),"Finance, Budget & Treasury",High,General Economic Affairs,Medium,NA,NA,NA,NA,1,0,0,0
186941,2000,SDN,Sudan,1023,Min. Of Foreign Affairs,Mustafa Osman Ismail,Dr.,Male,NA,NA,independent,independent,independent,1,1,0,Minister (Full Rank),Foreign Relations,High,NA,NA,NA,NA,NA,NA,0,0,0,1
186942,2000,SDN,Sudan,1024,Min. Of Health,Abu Al Qasim Mohammed Ibrahim,Maj. Gen,Male,NA,NA,independent,independent,independent,1,1,0,Minister (Full Rank),Health & Social Welfare,Medium,NA,NA,NA,NA,NA,NA,0,0,0,0
186943,2000,SDN,Sudan,1025,Min. Of Higher Education & Scientific Research,Zubeir Bashir Taha,NA,Male,NA,NA,independent,independent,independent,1,1,0,Minister (Full Rank),"Education, Training & Skills",Medium,"Science, Technology & Research",Low,NA,NA,NA,NA,0,0,0,0
186944,2000,SDN,Sudan,1026,Min. Of Industry,Abdal Halim Al Mutaafi,NA,Male,NA,NA,independent,independent,independent,1,1,0,Minister (Full Rank),Industry & Commerce,Medium,NA,NA,NA,NA,NA,NA,0,0,0,0
186945,2000,SDN,Sudan,1027,Min. Of Information & Culture,Ghazi Salahaddin,NA,Male,NA,NA,independent,independent,independent,1,1,0,Minister (Full Rank),Communications & Information,Medium,Culture & Heritage,Medium,NA,NA,NA,NA,0,0,0,0
186946,2000,SDN,Sudan,1028,Min. Of Interior,Abdul Rahim Mohammed Hussein,Brig. Gen.,Male,NA,NA,independent,independent,independent,1,1,0,Minister (Full Rank),"Government, Interior & Home Affairs",High,NA,NA,NA,NA,NA,NA,0,0,0,0
186947,2000,SDN,Sudan,1029,Min. Of International Cooperation & Investment,NA,NA,NA,NA,NA,independent,independent,independent,1,1,0,Minister (Full Rank),Foreign Relations,High,Foreign Economic Relations,Medium,NA,NA,NA,NA,0,0,0,0
186948,2000,SDN,Sudan,1030,Min. Of Irrigation,Kamal Ali Mohammed,NA,Male,NA,NA,independent,independent,independent,1,1,0,Minister (Full Rank),"Agriculture, Food, Fisheries & Livestock",Medium,NA,NA,NA,NA,NA,NA,0,0,0,0
186949,2000,SDN,Sudan,1031,Min. Of Justice,Ali Mohammed Osman Yassin,NA,Male,NA,NA,independent,independent,independent,1,1,0,Minister (Full Rank),Justice & Legal Affairs,Medium,NA,NA,NA,NA,NA,NA,0,0,0,0
186950,2000,SDN,Sudan,1032,Min. Of Manpower,Alison Manani Magaya,Maj. Gen (Ret.),Male,NA,NA,independent,independent,independent,1,1,0,Minister (Full Rank),"Labor, Employment & Social Security",Medium,NA,NA,NA,NA,NA,NA,0,0,0,0
