@@,itemlabel,partylabel,item,psid
+++,Abraham Albino Kuot,SPLM,,
+++,Adelino Michael Wani,SPLM,,
+++,Agnes Nyoka Peter,SPLM,,
+++,Ajok Wol Atak Deng,SPLM,,
+++,Akuar Gamar Ujieth,SPLM,,
+++,Akuot Chan Kuac,SPLM,,
+++,Alambeny Malith Riak,SPLM,,
+++,Ali Adillan Nur-aldin,SPLM,,
+++,Alma Jervas Yak,SPLM,,
+++,Anita Allah-jabu Mursal,SPLM,,
+++,Ann Lino Wor Abyei,SPLM,,
+++,Anthony Kudus Justin,SPLM,,
+++,Asha Abdalsalam Alawad,SPLM,,
+++,Atem Garang D. Dekuek,SPLM,,
+++,Augustino Mathok Thok,SPLM,,
+++,Ayak Ngor Malek,SPLM,,
+++,Benjamin Bol,SPLM-DC,,
+++,Bona Bak Nyang,SPLM,,
+++,Bullen Kot Beny Adiak,SPLM,,
+++,Bur Gatwich Kuny,SPLM,,
+++,Caguor Aduong Manyang,SPLM,,
+++,Cecilia Achuil Mathew,SPLM,,
+++,Daniel Dhieu Matuet,SPLM,,
+++,David Allemy Poru,SPLM,,
+++,David Thil Chol,SPLM,,
+++,Deng Chol Deng,SPLM,,
+++,Deng Goch Ayuel,SPLM,,
+++,Deng Tong Kuol,SPLM,,
+++,Elia Ullan Jongo Wako,SPLM,,
+++,Elizabeth John Kuol,SPLM,,
+++,Eloren Allen Kulem,SPLM,,
+++,Fatima Kur Chol,SPLM,,
+++,George Andrea Juma,SPLM,,
+++,George Bureng Nyombe,SPLM,,
+++,Goc Makuac Mayol,SPLM,,
+++,Imelda Modi Tartisio,SPLM,,
+++,Jacob Duang Wan,SPLM,,
+++,Jamal Juma Kakaya,SPLM,,
+++,Jamal Lomongin Peter,SPLM,,
+++,James Aguer Alij,SPLM,,
+++,James Angelo Celerino,SPLM,,
+++,John Agany Deng,SPLM,,
+++,John Badeng Chan,SPLM,,
+++,John Gatnyai Thot,SPLM,,
+++,Johnson Ollami,SPLM-DC,,
+++,Jok Jak Bom,SPLM,,
+++,Jongkuc Johnson Kulang,SPLM,,
+++,Joseph Dilli Lupara,SPLM,,
+++,Joseph Mathuc Mou,SPLM,,
+++,Justin Erat Kerepi,SPLM,,
+++,Justin Joseph Marona,SPLM,,
+++,Ketura Yona Ambara,SPLM,,
+++,Kuol Lual Awan,SPLM,,
+++,Lang Tap Lam,SPLM,,
+++,Lazarous Permena Farajalla,SPLM,,
+++,Lidia Jok Chol,SPLM,,
+++,Lilly Kiden Eluzaya,SPLM,,
+++,Lual Achuek Deng,SPLM,,
+++,Luis Wille Atiol,SPLM,,
+++,Majok Dau Chol Lak,SPLM,,
+++,Maker Thiong Maal,SPLM,,
+++,Marko Lolibas Lojore,SPLM,,
+++,Mary Nyiyom Lual,SPLM,,
+++,Mary Yual Badeng,SPLM,,
+++,Mathias Loye Obura,SPLM,,
+++,Mayiik Ayii Deng,SPLM,,
+++,Michael Chot Lul,SPLM,,
+++,Michael Rut Koryom,NCP,,
+++,Munira Abdalwahab,SPLM,,
+++,Murad Meseka Dourania,SPLM,,
+++,Nadia Arop Dudi,SPLM,,
+++,Nadia Mahajuob Babiker,SPLM,,
+++,Natire Ann Grace,SPLM,,
+++,Oliver Mori Benjamin,SPLM,,
+++,Pasquale Clement Batali,SPLM,,
+++,Paul Lotabu Mana,SPLM,,
+++,Paul Yoane Bonju,SPLM,,
+++,Puok Bol Mut,SPLM,,
+++,Ramadan Hassen Laku,SPLM,,
+++,Rashid Adam Alallah,SPLM,,
+++,Rebecca Aluel Mayor,SPLM,,
+++,Remzi Monyping Cier,SPLM,,
+++,Riek Gai Kok,NCP,,
+++,Rose Adau Deng,SPLM,,
+++,Salih Saeed Uko,SPLM,,
+++,Samson Ezekiel Ndiko,SPLM,,
+++,Siro Garjuok Marino,SPLM,,
+++,Suzan Solomon Mamur,SPLM,,
+++,Thomas Wani Kundu,SPLM,,
+++,Tut Kew Gatluak,NCP,,
+++,Veronica Luis Renzi,SPLM,,
+++,Veronica Rodento Onzi,SPLM,,
+++,Wek Mamer Kuol,SPLM,,
+++,William Ajel Deng Gai,SPLM,,
+++,Wol Deng Aleu,SPLM,,
